t,p_1,p_2,mob_A,imm_A,diss_A,seal_A,mob_B,imm_B,diss_B,seal_B,M_C,total_CO2_mass
173400,1.113984E+05,1.055012E+05,1.027E-03,0.000E+00,2.785E-03,4.976E-04,0.000E+00,0.000E+00,3.994E-04,4.976E-04,1.924E+00,9.438E-03
174000,1.113983E+05,1.055012E+05,1.019E-03,0.000E+00,2.794E-03,4.983E-04,0.000E+00,0.000E+00,3.980E-04,4.983E-04,1.921E+00,9.438E-03
174600,1.113983E+05,1.055011E+05,1.011E-03,0.000E+00,2.804E-03,4.989E-04,0.000E+00,0.000E+00,3.966E-04,4.989E-04,1.918E+00,9.438E-03
175200,1.113982E+05,1.055011E+05,1.002E-03,2.518E-07,2.815E-03,4.995E-04,0.000E+00,0.000E+00,3.952E-04,4.995E-04,1.915E+00,9.438E-03
175800,1.113982E+05,1.055010E+05,9.925E-04,0.000E+00,2.827E-03,5.001E-04,0.000E+00,0.000E+00,3.937E-04,5.001E-04,1.912E+00,9.438E-03
176400,1.113980E+05,1.055009E+05,9.814E-04,2.227E-07,2.840E-03,5.006E-04,0.000E+00,0.000E+00,3.921E-04,5.006E-04,1.908E+00,9.438E-03
177000,1.113979E+05,1.055008E+05,9.576E-04,1.169E-05,2.855E-03,5.011E-04,0.000E+00,0.000E+00,3.905E-04,5.011E-04,1.903E+00,9.438E-03
177600,1.113983E+05,1.055011E+05,9.472E-04,1.057E-05,2.869E-03,5.016E-04,0.000E+00,0.000E+00,3.888E-04,5.016E-04,1.898E+00,9.438E-03
178200,1.113985E+05,1.055013E+05,9.422E-04,8.520E-06,2.877E-03,5.023E-04,0.000E+00,0.000E+00,3.876E-04,5.023E-04,1.894E+00,9.438E-03
178800,1.113986E+05,1.055014E+05,9.394E-04,6.025E-06,2.884E-03,5.030E-04,0.000E+00,0.000E+00,3.865E-04,5.030E-04,1.891E+00,9.438E-03
179400,1.113988E+05,1.055015E+05,9.369E-04,4.257E-06,2.890E-03,5.039E-04,0.000E+00,0.000E+00,3.855E-04,5.039E-04,1.887E+00,9.438E-03
180000,1.113988E+05,1.055015E+05,9.340E-04,3.746E-06,2.894E-03,5.047E-04,0.000E+00,0.000E+00,3.845E-04,5.047E-04,1.883E+00,9.438E-03
180600,1.113989E+05,1.055016E+05,9.317E-04,3.113E-06,2.898E-03,5.056E-04,0.000E+00,0.000E+00,3.837E-04,5.056E-04,1.879E+00,9.438E-03
181200,1.113988E+05,1.055015E+05,9.279E-04,4.270E-06,2.902E-03,5.064E-04,0.000E+00,0.000E+00,3.828E-04,5.064E-04,1.875E+00,9.438E-03
181800,1.113989E+05,1.055015E+05,9.258E-04,3.366E-06,2.906E-03,5.073E-04,0.000E+00,0.000E+00,3.819E-04,5.073E-04,1.871E+00,9.438E-03
182400,1.113989E+05,1.055016E+05,9.236E-04,2.873E-06,2.909E-03,5.082E-04,0.000E+00,0.000E+00,3.811E-04,5.082E-04,1.867E+00,9.438E-03
183000,1.113989E+05,1.055015E+05,9.207E-04,2.975E-06,2.913E-03,5.090E-04,0.000E+00,0.000E+00,3.803E-04,5.090E-04,1.864E+00,9.438E-03
183600,1.113989E+05,1.055016E+05,9.188E-04,2.096E-06,2.917E-03,5.098E-04,0.000E+00,0.000E+00,3.794E-04,5.098E-04,1.860E+00,9.438E-03
184200,1.113989E+05,1.055015E+05,9.165E-04,1.729E-06,2.921E-03,5.107E-04,0.000E+00,0.000E+00,3.786E-04,5.107E-04,1.858E+00,9.438E-03
184800,1.113989E+05,1.055015E+05,9.143E-04,1.126E-06,2.924E-03,5.115E-04,0.000E+00,0.000E+00,3.778E-04,5.115E-04,1.855E+00,9.438E-03
185400,1.113989E+05,1.055015E+05,9.120E-04,7.206E-07,2.928E-03,5.124E-04,0.000E+00,0.000E+00,3.769E-04,5.124E-04,1.854E+00,9.438E-03
186000,1.113988E+05,1.055015E+05,9.095E-04,4.029E-07,2.932E-03,5.132E-04,0.000E+00,0.000E+00,3.761E-04,5.132E-04,1.853E+00,9.438E-03
186600,1.113988E+05,1.055015E+05,9.069E-04,1.556E-07,2.936E-03,5.140E-04,0.000E+00,0.000E+00,3.753E-04,5.140E-04,1.853E+00,9.438E-03
187200,1.113988E+05,1.055015E+05,9.041E-04,0.000E+00,2.940E-03,5.148E-04,0.000E+00,0.000E+00,3.745E-04,5.148E-04,1.854E+00,9.438E-03
187800,1.113988E+05,1.055015E+05,9.011E-04,0.000E+00,2.943E-03,5.156E-04,0.000E+00,0.000E+00,3.737E-04,5.156E-04,1.856E+00,9.438E-03
188400,1.113988E+05,1.055015E+05,8.980E-04,0.000E+00,2.947E-03,5.164E-04,0.000E+00,0.000E+00,3.728E-04,5.164E-04,1.858E+00,9.438E-03
189000,1.113988E+05,1.055015E+05,8.948E-04,0.000E+00,2.952E-03,5.172E-04,0.000E+00,0.000E+00,3.720E-04,5.172E-04,1.861E+00,9.438E-03
189600,1.113988E+05,1.055015E+05,8.914E-04,0.000E+00,2.956E-03,5.180E-04,0.000E+00,0.000E+00,3.712E-04,5.180E-04,1.865E+00,9.438E-03
190200,1.113988E+05,1.055015E+05,8.879E-04,0.000E+00,2.960E-03,5.187E-04,0.000E+00,0.000E+00,3.703E-04,5.187E-04,1.868E+00,9.438E-03
190800,1.113988E+05,1.055015E+05,8.843E-04,0.000E+00,2.965E-03,5.195E-04,0.000E+00,0.000E+00,3.695E-04,5.195E-04,1.872E+00,9.438E-03
191400,1.113988E+05,1.055015E+05,8.806E-04,0.000E+00,2.970E-03,5.202E-04,0.000E+00,0.000E+00,3.687E-04,5.202E-04,1.875E+00,9.438E-03
192000,1.113988E+05,1.055015E+05,8.767E-04,0.000E+00,2.975E-03,5.210E-04,0.000E+00,0.000E+00,3.678E-04,5.210E-04,1.879E+00,9.438E-03
192600,1.113988E+05,1.055015E+05,8.728E-04,0.000E+00,2.980E-03,5.217E-04,0.000E+00,0.000E+00,3.670E-04,5.217E-04,1.881E+00,9.438E-03
193200,1.113987E+05,1.055015E+05,8.687E-04,0.000E+00,2.985E-03,5.224E-04,0.000E+00,0.000E+00,3.661E-04,5.224E-04,1.884E+00,9.438E-03
193800,1.113987E+05,1.055015E+05,8.645E-04,0.000E+00,2.990E-03,5.231E-04,0.000E+00,0.000E+00,3.653E-04,5.231E-04,1.885E+00,9.438E-03
194400,1.113987E+05,1.055014E+05,8.603E-04,0.000E+00,2.996E-03,5.238E-04,0.000E+00,0.000E+00,3.644E-04,5.238E-04,1.887E+00,9.438E-03
195000,1.113987E+05,1.055014E+05,8.559E-04,0.000E+00,3.001E-03,5.245E-04,0.000E+00,0.000E+00,3.636E-04,5.245E-04,1.888E+00,9.438E-03
195600,1.113987E+05,1.055014E+05,8.515E-04,0.000E+00,3.007E-03,5.252E-04,0.000E+00,0.000E+00,3.627E-04,5.252E-04,1.888E+00,9.438E-03
196200,1.113987E+05,1.055014E+05,8.470E-04,0.000E+00,3.012E-03,5.259E-04,0.000E+00,0.000E+00,3.619E-04,5.259E-04,1.888E+00,9.438E-03
196800,1.113987E+05,1.055014E+05,8.424E-04,0.000E+00,3.018E-03,5.266E-04,0.000E+00,0.000E+00,3.610E-04,5.266E-04,1.888E+00,9.438E-03
197400,1.113987E+05,1.055014E+05,8.377E-04,0.000E+00,3.024E-03,5.272E-04,0.000E+00,0.000E+00,3.602E-04,5.272E-04,1.887E+00,9.438E-03
198000,1.113987E+05,1.055014E+05,8.329E-04,0.000E+00,3.030E-03,5.279E-04,0.000E+00,0.000E+00,3.593E-04,5.279E-04,1.886E+00,9.438E-03
198600,1.113987E+05,1.055014E+05,8.281E-04,0.000E+00,3.036E-03,5.286E-04,0.000E+00,0.000E+00,3.585E-04,5.286E-04,1.884E+00,9.438E-03
199200,1.113987E+05,1.055014E+05,8.231E-04,0.000E+00,3.042E-03,5.293E-04,0.000E+00,0.000E+00,3.576E-04,5.293E-04,1.882E+00,9.438E-03
199800,1.113987E+05,1.055014E+05,8.181E-04,0.000E+00,3.049E-03,5.299E-04,0.000E+00,0.000E+00,3.568E-04,5.299E-04,1.880E+00,9.438E-03
200400,1.113987E+05,1.055014E+05,8.131E-04,0.000E+00,3.055E-03,5.306E-04,0.000E+00,0.000E+00,3.559E-04,5.306E-04,1.878E+00,9.438E-03
201000,1.113987E+05,1.055014E+05,8.079E-04,0.000E+00,3.062E-03,5.313E-04,0.000E+00,0.000E+00,3.551E-04,5.313E-04,1.875E+00,9.438E-03
201600,1.113987E+05,1.055014E+05,8.026E-04,0.000E+00,3.069E-03,5.319E-04,0.000E+00,0.000E+00,3.543E-04,5.319E-04,1.873E+00,9.438E-03
202200,1.113987E+05,1.055014E+05,7.973E-04,0.000E+00,3.076E-03,5.326E-04,0.000E+00,0.000E+00,3.534E-04,5.326E-04,1.870E+00,9.438E-03
202800,1.113987E+05,1.055014E+05,7.918E-04,0.000E+00,3.083E-03,5.332E-04,0.000E+00,0.000E+00,3.526E-04,5.332E-04,1.867E+00,9.438E-03
203400,1.113987E+05,1.055014E+05,7.862E-04,0.000E+00,3.090E-03,5.339E-04,0.000E+00,0.000E+00,3.518E-04,5.339E-04,1.864E+00,9.438E-03
204000,1.113987E+05,1.055014E+05,7.804E-04,0.000E+00,3.097E-03,5.345E-04,0.000E+00,0.000E+00,3.509E-04,5.345E-04,1.861E+00,9.438E-03
204600,1.113986E+05,1.055014E+05,7.744E-04,0.000E+00,3.105E-03,5.352E-04,0.000E+00,0.000E+00,3.501E-04,5.352E-04,1.857E+00,9.438E-03
205200,1.113986E+05,1.055014E+05,7.683E-04,0.000E+00,3.113E-03,5.358E-04,0.000E+00,0.000E+00,3.492E-04,5.358E-04,1.854E+00,9.438E-03
205800,1.113986E+05,1.055014E+05,7.618E-04,0.000E+00,3.121E-03,5.364E-04,0.000E+00,0.000E+00,3.483E-04,5.364E-04,1.850E+00,9.438E-03
206400,1.113986E+05,1.055013E+05,7.550E-04,0.000E+00,3.130E-03,5.370E-04,0.000E+00,0.000E+00,3.475E-04,5.370E-04,1.846E+00,9.438E-03
207000,1.113985E+05,1.055013E+05,7.478E-04,0.000E+00,3.139E-03,5.376E-04,0.000E+00,0.000E+00,3.466E-04,5.376E-04,1.842E+00,9.438E-03
207600,1.113985E+05,1.055012E+05,7.400E-04,0.000E+00,3.149E-03,5.382E-04,0.000E+00,0.000E+00,3.457E-04,5.382E-04,1.838E+00,9.438E-03
208200,1.113984E+05,1.055012E+05,7.314E-04,4.365E-08,3.160E-03,5.387E-04,0.000E+00,0.000E+00,3.447E-04,5.387E-04,1.834E+00,9.438E-03
208800,1.113983E+05,1.055011E+05,7.189E-04,3.110E-06,3.172E-03,5.392E-04,0.000E+00,0.000E+00,3.437E-04,5.392E-04,1.829E+00,9.438E-03
209400,1.113982E+05,1.055011E+05,7.011E-04,1.061E-05,3.185E-03,5.396E-04,0.000E+00,0.000E+00,3.427E-04,5.396E-04,1.824E+00,9.438E-03
210000,1.113985E+05,1.055013E+05,6.916E-04,1.003E-05,3.197E-03,5.401E-04,0.000E+00,0.000E+00,3.417E-04,5.401E-04,1.820E+00,9.438E-03
210600,1.113987E+05,1.055014E+05,6.867E-04,8.463E-06,3.206E-03,5.407E-04,0.000E+00,0.000E+00,3.409E-04,5.407E-04,1.815E+00,9.438E-03
211200,1.113987E+05,1.055015E+05,6.826E-04,7.247E-06,3.213E-03,5.413E-04,0.000E+00,0.000E+00,3.402E-04,5.413E-04,1.810E+00,9.438E-03
211800,1.113989E+05,1.055016E+05,6.799E-04,5.857E-06,3.218E-03,5.420E-04,0.000E+00,0.000E+00,3.396E-04,5.420E-04,1.805E+00,9.438E-03
212400,1.113989E+05,1.055016E+05,6.775E-04,5.092E-06,3.223E-03,5.427E-04,0.000E+00,0.000E+00,3.390E-04,5.427E-04,1.800E+00,9.438E-03
213000,1.113989E+05,1.055016E+05,6.754E-04,4.044E-06,3.227E-03,5.434E-04,0.000E+00,0.000E+00,3.385E-04,5.434E-04,1.795E+00,9.438E-03
213600,1.113989E+05,1.055016E+05,6.726E-04,3.878E-06,3.231E-03,5.441E-04,0.000E+00,0.000E+00,3.379E-04,5.441E-04,1.789E+00,9.438E-03
214200,1.113990E+05,1.055016E+05,6.698E-04,4.041E-06,3.235E-03,5.447E-04,0.000E+00,0.000E+00,3.374E-04,5.447E-04,1.784E+00,9.438E-03
214800,1.113989E+05,1.055016E+05,6.675E-04,3.848E-06,3.239E-03,5.454E-04,0.000E+00,0.000E+00,3.369E-04,5.454E-04,1.778E+00,9.438E-03
215400,1.113990E+05,1.055016E+05,6.655E-04,3.374E-06,3.242E-03,5.460E-04,0.000E+00,0.000E+00,3.364E-04,5.460E-04,1.773E+00,9.438E-03
216000,1.113990E+05,1.055016E+05,6.639E-04,2.428E-06,3.246E-03,5.467E-04,0.000E+00,0.000E+00,3.359E-04,5.467E-04,1.767E+00,9.438E-03
216600,1.113990E+05,1.055017E+05,6.619E-04,1.776E-06,3.250E-03,5.473E-04,0.000E+00,0.000E+00,3.354E-04,5.473E-04,1.762E+00,9.438E-03
217200,1.113990E+05,1.055017E+05,6.601E-04,1.201E-06,3.253E-03,5.479E-04,0.000E+00,0.000E+00,3.350E-04,5.479E-04,1.757E+00,9.438E-03
217800,1.113990E+05,1.055017E+05,6.582E-04,8.467E-07,3.256E-03,5.485E-04,0.000E+00,0.000E+00,3.345E-04,5.485E-04,1.753E+00,9.438E-03
218400,1.113990E+05,1.055017E+05,6.562E-04,5.828E-07,3.259E-03,5.491E-04,0.000E+00,0.000E+00,3.341E-04,5.491E-04,1.749E+00,9.438E-03
219000,1.113990E+05,1.055017E+05,6.541E-04,2.588E-07,3.263E-03,5.496E-04,0.000E+00,0.000E+00,3.336E-04,5.496E-04,1.746E+00,9.438E-03
219600,1.113990E+05,1.055017E+05,6.519E-04,4.736E-08,3.266E-03,5.502E-04,0.000E+00,0.000E+00,3.332E-04,5.502E-04,1.744E+00,9.438E-03
220200,1.113990E+05,1.055017E+05,6.495E-04,0.000E+00,3.269E-03,5.507E-04,0.000E+00,0.000E+00,3.328E-04,5.507E-04,1.743E+00,9.438E-03
220800,1.113990E+05,1.055017E+05,6.471E-04,0.000E+00,3.273E-03,5.512E-04,0.000E+00,0.000E+00,3.323E-04,5.512E-04,1.743E+00,9.438E-03
221400,1.113990E+05,1.055017E+05,6.445E-04,0.000E+00,3.276E-03,5.517E-04,0.000E+00,0.000E+00,3.319E-04,5.517E-04,1.743E+00,9.438E-03
222000,1.113990E+05,1.055017E+05,6.418E-04,0.000E+00,3.279E-03,5.522E-04,0.000E+00,0.000E+00,3.315E-04,5.522E-04,1.744E+00,9.438E-03
222600,1.113990E+05,1.055017E+05,6.391E-04,0.000E+00,3.283E-03,5.526E-04,0.000E+00,0.000E+00,3.311E-04,5.526E-04,1.746E+00,9.438E-03
223200,1.113990E+05,1.055017E+05,6.362E-04,0.000E+00,3.286E-03,5.531E-04,0.000E+00,0.000E+00,3.307E-04,5.531E-04,1.748E+00,9.438E-03
223800,1.113990E+05,1.055017E+05,6.333E-04,0.000E+00,3.290E-03,5.535E-04,0.000E+00,0.000E+00,3.302E-04,5.535E-04,1.749E+00,9.438E-03
224400,1.113990E+05,1.055017E+05,6.303E-04,0.000E+00,3.294E-03,5.539E-04,0.000E+00,0.000E+00,3.298E-04,5.539E-04,1.751E+00,9.438E-03
225000,1.113990E+05,1.055017E+05,6.272E-04,0.000E+00,3.298E-03,5.543E-04,0.000E+00,0.000E+00,3.294E-04,5.543E-04,1.753E+00,9.438E-03
225600,1.113990E+05,1.055017E+05,6.240E-04,0.000E+00,3.302E-03,5.547E-04,0.000E+00,0.000E+00,3.290E-04,5.547E-04,1.755E+00,9.438E-03
226200,1.113990E+05,1.055017E+05,6.208E-04,0.000E+00,3.306E-03,5.551E-04,0.000E+00,0.000E+00,3.286E-04,5.551E-04,1.756E+00,9.438E-03
226800,1.113990E+05,1.055017E+05,6.175E-04,0.000E+00,3.310E-03,5.554E-04,0.000E+00,0.000E+00,3.282E-04,5.554E-04,1.756E+00,9.438E-03
227400,1.113989E+05,1.055017E+05,6.141E-04,0.000E+00,3.314E-03,5.558E-04,0.000E+00,0.000E+00,3.278E-04,5.558E-04,1.757E+00,9.438E-03
228000,1.113989E+05,1.055016E+05,6.106E-04,0.000E+00,3.318E-03,5.562E-04,0.000E+00,0.000E+00,3.274E-04,5.562E-04,1.757E+00,9.438E-03
228600,1.113989E+05,1.055016E+05,6.071E-04,0.000E+00,3.322E-03,5.565E-04,0.000E+00,0.000E+00,3.270E-04,5.565E-04,1.756E+00,9.438E-03
229200,1.113989E+05,1.055016E+05,6.035E-04,0.000E+00,3.327E-03,5.569E-04,0.000E+00,0.000E+00,3.266E-04,5.569E-04,1.756E+00,9.438E-03
229800,1.113989E+05,1.055016E+05,5.999E-04,0.000E+00,3.331E-03,5.572E-04,0.000E+00,0.000E+00,3.262E-04,5.572E-04,1.754E+00,9.438E-03
230400,1.113989E+05,1.055016E+05,5.962E-04,0.000E+00,3.335E-03,5.576E-04,0.000E+00,0.000E+00,3.258E-04,5.576E-04,1.753E+00,9.438E-03
231000,1.113989E+05,1.055016E+05,5.924E-04,0.000E+00,3.340E-03,5.579E-04,0.000E+00,0.000E+00,3.254E-04,5.579E-04,1.751E+00,9.438E-03
231600,1.113989E+05,1.055016E+05,5.886E-04,0.000E+00,3.344E-03,5.583E-04,0.000E+00,0.000E+00,3.250E-04,5.583E-04,1.749E+00,9.438E-03
232200,1.113989E+05,1.055016E+05,5.847E-04,0.000E+00,3.349E-03,5.587E-04,0.000E+00,0.000E+00,3.246E-04,5.587E-04,1.747E+00,9.438E-03
232800,1.113989E+05,1.055016E+05,5.807E-04,0.000E+00,3.354E-03,5.590E-04,0.000E+00,0.000E+00,3.243E-04,5.590E-04,1.744E+00,9.438E-03
233400,1.113989E+05,1.055016E+05,5.767E-04,0.000E+00,3.358E-03,5.594E-04,0.000E+00,0.000E+00,3.239E-04,5.594E-04,1.741E+00,9.438E-03
234000,1.113989E+05,1.055016E+05,5.727E-04,0.000E+00,3.363E-03,5.597E-04,0.000E+00,0.000E+00,3.235E-04,5.597E-04,1.738E+00,9.438E-03
234600,1.113989E+05,1.055016E+05,5.685E-04,0.000E+00,3.368E-03,5.601E-04,0.000E+00,0.000E+00,3.231E-04,5.601E-04,1.735E+00,9.438E-03
235200,1.113989E+05,1.055016E+05,5.643E-04,0.000E+00,3.373E-03,5.605E-04,0.000E+00,0.000E+00,3.227E-04,5.605E-04,1.732E+00,9.438E-03
235800,1.113989E+05,1.055016E+05,5.601E-04,0.000E+00,3.378E-03,5.608E-04,0.000E+00,0.000E+00,3.224E-04,5.608E-04,1.729E+00,9.438E-03
236400,1.113989E+05,1.055016E+05,5.557E-04,0.000E+00,3.383E-03,5.612E-04,0.000E+00,0.000E+00,3.220E-04,5.612E-04,1.725E+00,9.438E-03
237000,1.113989E+05,1.055016E+05,5.513E-04,0.000E+00,3.388E-03,5.615E-04,0.000E+00,0.000E+00,3.216E-04,5.615E-04,1.722E+00,9.438E-03
237600,1.113989E+05,1.055016E+05,5.467E-04,0.000E+00,3.393E-03,5.619E-04,0.000E+00,0.000E+00,3.213E-04,5.619E-04,1.718E+00,9.438E-03
238200,1.113989E+05,1.055016E+05,5.421E-04,0.000E+00,3.399E-03,5.623E-04,0.000E+00,0.000E+00,3.209E-04,5.623E-04,1.715E+00,9.438E-03
238800,1.113988E+05,1.055016E+05,5.373E-04,0.000E+00,3.404E-03,5.626E-04,0.000E+00,0.000E+00,3.205E-04,5.626E-04,1.711E+00,9.438E-03
239400,1.113988E+05,1.055016E+05,5.323E-04,0.000E+00,3.410E-03,5.630E-04,0.000E+00,0.000E+00,3.202E-04,5.630E-04,1.707E+00,9.438E-03
240000,1.113988E+05,1.055016E+05,5.273E-04,0.000E+00,3.416E-03,5.633E-04,0.000E+00,0.000E+00,3.198E-04,5.633E-04,1.703E+00,9.438E-03
240600,1.113988E+05,1.055016E+05,5.220E-04,0.000E+00,3.422E-03,5.636E-04,0.000E+00,0.000E+00,3.194E-04,5.636E-04,1.699E+00,9.438E-03
241200,1.113988E+05,1.055015E+05,5.165E-04,0.000E+00,3.429E-03,5.640E-04,0.000E+00,0.000E+00,3.191E-04,5.640E-04,1.695E+00,9.438E-03
241800,1.113988E+05,1.055015E+05,5.107E-04,0.000E+00,3.436E-03,5.643E-04,0.000E+00,0.000E+00,3.187E-04,5.643E-04,1.691E+00,9.438E-03
242400,1.113987E+05,1.055015E+05,5.046E-04,0.000E+00,3.443E-03,5.646E-04,0.000E+00,0.000E+00,3.183E-04,5.646E-04,1.687E+00,9.438E-03
243000,1.113987E+05,1.055015E+05,4.981E-04,0.000E+00,3.451E-03,5.648E-04,0.000E+00,0.000E+00,3.179E-04,5.648E-04,1.683E+00,9.438E-03
243600,1.113986E+05,1.055014E+05,4.909E-04,2.716E-07,3.459E-03,5.651E-04,0.000E+00,0.000E+00,3.175E-04,5.651E-04,1.679E+00,9.438E-03
244200,1.113986E+05,1.055014E+05,4.831E-04,5.584E-07,3.468E-03,5.653E-04,0.000E+00,0.000E+00,3.171E-04,5.653E-04,1.674E+00,9.438E-03
244800,1.113986E+05,1.055014E+05,4.747E-04,8.695E-07,3.478E-03,5.655E-04,0.000E+00,0.000E+00,3.166E-04,5.655E-04,1.670E+00,9.438E-03
245400,1.113986E+05,1.055014E+05,4.579E-04,9.231E-06,3.488E-03,5.657E-04,0.000E+00,0.000E+00,3.162E-04,5.657E-04,1.665E+00,9.438E-03
246000,1.113985E+05,1.055014E+05,4.464E-04,1.185E-05,3.498E-03,5.658E-04,0.000E+00,0.000E+00,3.158E-04,5.658E-04,1.661E+00,9.438E-03
246600,1.113988E+05,1.055015E+05,4.425E-04,8.392E-06,3.507E-03,5.661E-04,0.000E+00,0.000E+00,3.154E-04,5.661E-04,1.657E+00,9.438E-03
247200,1.113988E+05,1.055016E+05,4.380E-04,7.212E-06,3.514E-03,5.664E-04,0.000E+00,0.000E+00,3.150E-04,5.664E-04,1.652E+00,9.438E-03
247800,1.113989E+05,1.055017E+05,4.360E-04,4.577E-06,3.519E-03,5.669E-04,0.000E+00,0.000E+00,3.147E-04,5.669E-04,1.648E+00,9.438E-03
248400,1.113990E+05,1.055017E+05,4.328E-04,4.765E-06,3.523E-03,5.674E-04,0.000E+00,0.000E+00,3.145E-04,5.674E-04,1.644E+00,9.438E-03
249000,1.113990E+05,1.055017E+05,4.304E-04,4.669E-06,3.526E-03,5.679E-04,0.000E+00,0.000E+00,3.143E-04,5.679E-04,1.639E+00,9.438E-03
249600,1.113990E+05,1.055017E+05,4.283E-04,4.420E-06,3.529E-03,5.684E-04,0.000E+00,0.000E+00,3.141E-04,5.684E-04,1.635E+00,9.438E-03
250200,1.113990E+05,1.055017E+05,4.253E-04,5.007E-06,3.532E-03,5.689E-04,0.000E+00,0.000E+00,3.139E-04,5.689E-04,1.631E+00,9.438E-03
250800,1.113990E+05,1.055018E+05,4.243E-04,3.617E-06,3.535E-03,5.694E-04,0.000E+00,0.000E+00,3.136E-04,5.694E-04,1.626E+00,9.438E-03
251400,1.113990E+05,1.055018E+05,4.227E-04,3.186E-06,3.537E-03,5.699E-04,0.000E+00,0.000E+00,3.134E-04,5.699E-04,1.622E+00,9.438E-03
252000,1.113991E+05,1.055018E+05,4.213E-04,2.657E-06,3.540E-03,5.704E-04,0.000E+00,0.000E+00,3.133E-04,5.704E-04,1.618E+00,9.438E-03
252600,1.113991E+05,1.055018E+05,4.202E-04,1.926E-06,3.542E-03,5.709E-04,0.000E+00,0.000E+00,3.131E-04,5.709E-04,1.613E+00,9.438E-03
253200,1.113991E+05,1.055018E+05,4.189E-04,1.560E-06,3.544E-03,5.713E-04,0.000E+00,0.000E+00,3.129E-04,5.713E-04,1.610E+00,9.438E-03
253800,1.113991E+05,1.055018E+05,4.176E-04,1.136E-06,3.546E-03,5.718E-04,0.000E+00,0.000E+00,3.127E-04,5.718E-04,1.606E+00,9.438E-03
254400,1.113991E+05,1.055018E+05,4.159E-04,1.086E-06,3.548E-03,5.722E-04,0.000E+00,0.000E+00,3.125E-04,5.722E-04,1.602E+00,9.438E-03
255000,1.113991E+05,1.055018E+05,4.144E-04,9.247E-07,3.550E-03,5.726E-04,0.000E+00,0.000E+00,3.124E-04,5.726E-04,1.599E+00,9.438E-03
255600,1.113991E+05,1.055018E+05,4.128E-04,8.122E-07,3.553E-03,5.730E-04,0.000E+00,0.000E+00,3.122E-04,5.730E-04,1.597E+00,9.438E-03
256200,1.113990E+05,1.055018E+05,4.112E-04,6.550E-07,3.555E-03,5.734E-04,0.000E+00,0.000E+00,3.120E-04,5.734E-04,1.594E+00,9.438E-03
256800,1.113990E+05,1.055018E+05,4.095E-04,5.225E-07,3.557E-03,5.737E-04,0.000E+00,0.000E+00,3.118E-04,5.737E-04,1.593E+00,9.438E-03
257400,1.113990E+05,1.055018E+05,4.076E-04,4.931E-07,3.559E-03,5.741E-04,0.000E+00,0.000E+00,3.117E-04,5.741E-04,1.592E+00,9.438E-03
258000,1.113990E+05,1.055018E+05,4.058E-04,4.323E-07,3.562E-03,5.744E-04,0.000E+00,0.000E+00,3.115E-04,5.744E-04,1.591E+00,9.438E-03
258600,1.113990E+05,1.055018E+05,4.038E-04,3.412E-07,3.564E-03,5.747E-04,0.000E+00,0.000E+00,3.113E-04,5.747E-04,1.591E+00,9.438E-03
259200,1.113990E+05,1.055018E+05,4.017E-04,2.549E-07,3.567E-03,5.750E-04,0.000E+00,0.000E+00,3.112E-04,5.750E-04,1.592E+00,9.438E-03
