# t, p_1, p_2, mob_A, imm_A, diss_A, seal_A, mob_B, imm_B, diss_B, seal_B, M_C
0.000000,109690.849085,103730.408576,0.000000,0.000000,0.000025,0.000005,0.000000,0.000000,0.000018,0.000004,0.000000
600.000000,115298.247528,106235.788654,0.000000,0.000000,0.000025,0.000005,0.000000,0.000000,0.000018,0.000004,0.000000
1200.000000,115626.938909,106399.396592,0.000000,0.000000,0.000025,0.000005,0.000000,0.000000,0.000018,0.000004,0.000000
1800.000000,115550.154957,106406.096156,0.000000,0.000000,0.000025,0.000005,0.000000,0.000000,0.000018,0.000004,0.000000
2400.000000,115460.125490,106391.960894,0.000000,0.000000,0.000025,0.000005,0.000000,0.000000,0.000018,0.000004,0.000000
3000.000000,115657.809125,106468.419350,0.000000,0.000000,0.000025,0.000005,0.000000,0.000000,0.000018,0.000004,0.000000
3600.000000,116157.914471,106652.981574,0.000000,0.000000,0.000025,0.000005,0.000000,0.000000,0.000018,0.000004,0.000000
4200.000000,116335.660101,106732.477050,0.000000,0.000000,0.000025,0.000005,0.000000,0.000000,0.000018,0.000004,0.000000
4800.000000,116386.561153,106778.197640,0.000000,0.000000,0.000025,0.000005,0.000000,0.000000,0.000018,0.000004,0.000000
5400.000000,116617.160699,106883.163504,0.000000,0.000000,0.000027,0.000005,0.000000,0.000000,0.000018,0.000004,0.000018
6000.000000,116718.692385,106944.218213,0.000002,0.000001,0.000044,0.000012,0.000000,0.000000,0.000018,0.000004,0.001166
6600.000000,116877.393617,107012.740598,0.000007,0.000005,0.000075,0.000025,0.000000,0.000000,0.000018,0.000004,0.015400
7200.000000,116803.185814,107022.347906,0.000015,0.000009,0.000120,0.000044,0.000000,0.000000,0.000018,0.000004,0.038665
7800.000000,116917.708721,107076.943839,0.000025,0.000016,0.000170,0.000067,0.000000,0.000000,0.000018,0.000004,0.046587
8400.000000,116934.404203,107103.297687,0.000037,0.000022,0.000220,0.000095,0.000000,0.000000,0.000018,0.000004,0.043902
9000.000000,120589.739682,110697.778665,0.000047,0.000026,0.000253,0.000118,0.000000,0.000000,0.000018,0.000004,0.041701
9600.000000,121415.638394,111357.489092,0.000058,0.000030,0.000288,0.000145,0.000000,0.000000,0.000018,0.000004,0.047076
10200.000000,121393.115922,111297.770958,0.000070,0.000036,0.000327,0.000175,0.000000,0.000000,0.000018,0.000004,0.039626
10800.000000,121219.155227,111260.703300,0.000083,0.000041,0.000368,0.000207,0.000000,0.000000,0.000018,0.000004,0.039688
11400.000000,120736.384221,110851.399566,0.000097,0.000046,0.000410,0.000244,0.000000,0.000000,0.000018,0.000004,0.042290
12000.000000,120735.974118,111111.160249,0.000112,0.000052,0.000451,0.000281,0.000000,0.000000,0.000018,0.000004,0.040959
12600.000000,120744.860383,111253.964926,0.000126,0.000058,0.000488,0.000319,0.000000,0.000000,0.000018,0.000004,0.035169
13200.000000,120440.297402,111292.146441,0.000141,0.000062,0.000525,0.000356,0.000000,0.000000,0.000018,0.000004,0.031580
13800.000000,120388.133513,111427.213793,0.000155,0.000067,0.000561,0.000394,0.000000,0.000000,0.000018,0.000004,0.029965
14400.000000,120190.906937,111972.421500,0.000169,0.000071,0.000596,0.000432,0.000000,0.000000,0.000026,0.000004,0.029878
15000.000000,120493.159712,112168.829537,0.000182,0.000076,0.000626,0.000466,0.000001,0.000002,0.000051,0.000005,0.029761
15600.000000,120071.260850,112166.694283,0.000194,0.000080,0.000658,0.000502,0.000003,0.000006,0.000087,0.000005,0.029666
16200.000000,120125.872679,112748.448930,0.000206,0.000084,0.000685,0.000533,0.000005,0.000012,0.000136,0.000009,0.029560
16800.000000,120005.972851,113025.833701,0.000216,0.000087,0.000715,0.000568,0.000008,0.000018,0.000193,0.000014,0.029321
17400.000000,120212.197650,113264.491135,0.000227,0.000091,0.000737,0.000595,0.000012,0.000026,0.000263,0.000020,0.028930
18000.000000,119899.045331,114026.437821,0.000236,0.000095,0.000763,0.000624,0.000018,0.000037,0.000348,0.000023,0.028646
18600.000000,115491.561300,109476.304351,0.000239,0.000096,0.000772,0.000636,0.000026,0.000047,0.000435,0.000024,0.027965
19200.000000,111941.743685,106517.684721,0.000241,0.000097,0.000777,0.000644,0.000029,0.000057,0.000510,0.000023,0.027199
19800.000000,109762.471774,105059.336136,0.000243,0.000098,0.000778,0.000648,0.000028,0.000064,0.000569,0.000023,0.025073
20400.000000,108152.444110,103881.739218,0.000242,0.000098,0.000782,0.000652,0.000026,0.000068,0.000613,0.000023,0.023843
21000.000000,107184.649507,103092.262343,0.000241,0.000098,0.000785,0.000656,0.000023,0.000072,0.000643,0.000023,0.023094
21600.000000,106501.404328,102498.162156,0.000240,0.000098,0.000787,0.000657,0.000019,0.000073,0.000669,0.000022,0.022662
22200.000000,106097.545689,102166.899951,0.000237,0.000097,0.000791,0.000659,0.000016,0.000075,0.000683,0.000022,0.022222
22800.000000,105848.164174,101959.624910,0.000235,0.000097,0.000794,0.000660,0.000014,0.000076,0.000696,0.000022,0.021738
23400.000000,105719.710264,101789.077767,0.000232,0.000096,0.000798,0.000661,0.000012,0.000076,0.000705,0.000022,0.021526
24000.000000,105665.047398,101734.339083,0.000229,0.000096,0.000802,0.000663,0.000010,0.000076,0.000712,0.000022,0.021680
24600.000000,105674.645874,101704.287414,0.000226,0.000095,0.000806,0.000664,0.000009,0.000076,0.000717,0.000022,0.021746
25200.000000,105716.768469,101731.578016,0.000224,0.000095,0.000810,0.000665,0.000008,0.000076,0.000722,0.000022,0.021708
25800.000000,105776.312847,101743.553544,0.000221,0.000094,0.000814,0.000666,0.000008,0.000075,0.000725,0.000022,0.021456
26400.000000,105858.039805,101801.501002,0.000219,0.000094,0.000817,0.000668,0.000008,0.000075,0.000729,0.000022,0.021160
27000.000000,105942.658702,101845.998227,0.000216,0.000093,0.000821,0.000669,0.000007,0.000075,0.000732,0.000022,0.020877
27600.000000,106040.677572,101945.357352,0.000214,0.000093,0.000824,0.000670,0.000007,0.000075,0.000734,0.000022,0.020627
28200.000000,106126.995775,101972.462226,0.000211,0.000092,0.000828,0.000671,0.000007,0.000074,0.000736,0.000022,0.020616
28800.000000,106210.504268,102017.499912,0.000209,0.000092,0.000831,0.000672,0.000007,0.000074,0.000739,0.000022,0.020692
29400.000000,106288.398402,102038.550826,0.000207,0.000091,0.000835,0.000673,0.000007,0.000074,0.000741,0.000022,0.020839
30000.000000,106357.153849,102076.273201,0.000204,0.000091,0.000838,0.000674,0.000007,0.000074,0.000744,0.000022,0.020722
30600.000000,106429.705393,102138.824111,0.000202,0.000091,0.000841,0.000675,0.000007,0.000074,0.000746,0.000022,0.020603
31200.000000,106486.212047,102167.878009,0.000199,0.000090,0.000844,0.000676,0.000007,0.000074,0.000748,0.000022,0.020472
31800.000000,106539.750780,102216.415697,0.000197,0.000090,0.000847,0.000677,0.000007,0.000074,0.000750,0.000022,0.020166
32400.000000,106601.061639,102262.151152,0.000195,0.000090,0.000850,0.000678,0.000007,0.000074,0.000753,0.000022,0.019731
33000.000000,106649.286902,102284.700246,0.000192,0.000089,0.000853,0.000679,0.000007,0.000074,0.000755,0.000022,0.019364
33600.000000,106693.809080,102302.075437,0.000190,0.000089,0.000856,0.000680,0.000008,0.000075,0.000758,0.000023,0.019112
34200.000000,106736.683050,102355.993973,0.000187,0.000089,0.000858,0.000680,0.000008,0.000075,0.000761,0.000023,0.018733
34800.000000,106779.846691,102385.577683,0.000185,0.000088,0.000861,0.000681,0.000008,0.000075,0.000764,0.000023,0.018382
35400.000000,106814.550004,102383.012126,0.000182,0.000088,0.000864,0.000682,0.000008,0.000076,0.000766,0.000023,0.018053
36000.000000,106843.186137,102375.129841,0.000180,0.000088,0.000867,0.000683,0.000008,0.000076,0.000768,0.000023,0.017732
36600.000000,106875.455705,102406.569609,0.000178,0.000087,0.000870,0.000684,0.000008,0.000077,0.000770,0.000023,0.017400
37200.000000,106897.606335,102403.545664,0.000175,0.000087,0.000873,0.000685,0.000008,0.000077,0.000773,0.000023,0.017063
37800.000000,106910.564139,102411.472255,0.000173,0.000086,0.000875,0.000685,0.000008,0.000077,0.000776,0.000023,0.016754
38400.000000,106924.960110,102424.989085,0.000171,0.000086,0.000877,0.000686,0.000008,0.000077,0.000779,0.000023,0.016503
39000.000000,106938.094478,102432.253663,0.000168,0.000086,0.000880,0.000686,0.000008,0.000078,0.000782,0.000023,0.016273
39600.000000,106946.416723,102453.607108,0.000166,0.000085,0.000882,0.000687,0.000008,0.000078,0.000785,0.000023,0.016220
40200.000000,106961.995999,102468.930751,0.000163,0.000085,0.000885,0.000688,0.000009,0.000078,0.000788,0.000023,0.016365
40800.000000,106967.367381,102472.899341,0.000161,0.000085,0.000887,0.000688,0.000009,0.000078,0.000792,0.000023,0.016383
41400.000000,106986.987857,102479.702184,0.000158,0.000085,0.000890,0.000688,0.000009,0.000078,0.000795,0.000023,0.016393
42000.000000,107004.518571,102495.602717,0.000156,0.000084,0.000892,0.000689,0.000009,0.000078,0.000798,0.000023,0.016141
42600.000000,107030.301026,102520.053015,0.000153,0.000084,0.000894,0.000689,0.000009,0.000078,0.000801,0.000023,0.015875
43200.000000,107065.423219,102532.425665,0.000151,0.000084,0.000896,0.000690,0.000008,0.000079,0.000803,0.000023,0.015609
43800.000000,107092.558293,102537.079613,0.000148,0.000083,0.000898,0.000690,0.000009,0.000080,0.000806,0.000023,0.015319
44400.000000,107109.776995,102544.696096,0.000146,0.000083,0.000900,0.000691,0.000009,0.000080,0.000809,0.000023,0.014999
45000.000000,107136.884347,102565.588093,0.000143,0.000083,0.000902,0.000691,0.000009,0.000080,0.000812,0.000023,0.014660
45600.000000,107164.578133,102575.332928,0.000141,0.000082,0.000905,0.000691,0.000009,0.000080,0.000814,0.000023,0.014317
46200.000000,107182.568076,102578.825306,0.000138,0.000082,0.000907,0.000692,0.000009,0.000081,0.000817,0.000023,0.014007
46800.000000,107193.745266,102579.531025,0.000135,0.000082,0.000909,0.000692,0.000009,0.000081,0.000820,0.000023,0.013736
47400.000000,107219.070744,102584.785886,0.000133,0.000082,0.000911,0.000692,0.000009,0.000081,0.000823,0.000023,0.013531
48000.000000,107250.062215,102594.381449,0.000130,0.000081,0.000913,0.000692,0.000009,0.000081,0.000826,0.000023,0.013316
48600.000000,107278.724496,102607.018383,0.000127,0.000081,0.000915,0.000692,0.000009,0.000082,0.000828,0.000023,0.013094
49200.000000,107304.672119,102619.484762,0.000125,0.000081,0.000917,0.000692,0.000009,0.000082,0.000831,0.000023,0.012863
49800.000000,107324.847636,102626.569507,0.000122,0.000080,0.000919,0.000693,0.000009,0.000083,0.000833,0.000023,0.012610
50400.000000,107345.412968,102631.382253,0.000119,0.000080,0.000921,0.000693,0.000009,0.000083,0.000836,0.000023,0.012354
51000.000000,107355.222658,102633.218199,0.000117,0.000080,0.000923,0.000693,0.000009,0.000083,0.000839,0.000023,0.012132
51600.000000,107369.401717,102635.774274,0.000114,0.000079,0.000924,0.000693,0.000009,0.000083,0.000842,0.000023,0.011929
52200.000000,107384.300537,102629.230558,0.000112,0.000079,0.000926,0.000693,0.000009,0.000084,0.000845,0.000023,0.011772
52800.000000,107390.777053,102623.480862,0.000110,0.000078,0.000928,0.000693,0.000009,0.000084,0.000848,0.000023,0.011718
53400.000000,107401.383859,102624.348452,0.000107,0.000078,0.000930,0.000693,0.000009,0.000084,0.000851,0.000023,0.011603
54000.000000,107430.484413,102638.255532,0.000105,0.000078,0.000932,0.000693,0.000009,0.000085,0.000853,0.000023,0.011416
54600.000000,107460.340181,102647.007061,0.000102,0.000077,0.000934,0.000693,0.000009,0.000085,0.000855,0.000023,0.011209
55200.000000,107477.976822,102650.603541,0.000099,0.000077,0.000936,0.000694,0.000009,0.000086,0.000857,0.000023,0.011035
55800.000000,107493.722593,102652.204418,0.000097,0.000076,0.000938,0.000694,0.000009,0.000086,0.000859,0.000023,0.010884
56400.000000,107507.225506,102652.638088,0.000094,0.000076,0.000940,0.000694,0.000010,0.000087,0.000861,0.000023,0.010768
57000.000000,107521.839783,102648.986949,0.000092,0.000076,0.000941,0.000694,0.000010,0.000087,0.000864,0.000023,0.010669
57600.000000,107529.955154,102639.654623,0.000089,0.000075,0.000943,0.000694,0.000010,0.000087,0.000867,0.000023,0.010576
58200.000000,107538.484440,102632.870031,0.000086,0.000075,0.000945,0.000694,0.000010,0.000087,0.000869,0.000023,0.010481
58800.000000,107558.045337,102640.457304,0.000084,0.000075,0.000947,0.000694,0.000010,0.000088,0.000872,0.000023,0.010370
59400.000000,107574.722469,102646.674294,0.000081,0.000074,0.000948,0.000694,0.000010,0.000088,0.000874,0.000023,0.010259
60000.000000,107588.527720,102650.240975,0.000079,0.000074,0.000950,0.000693,0.000010,0.000088,0.000877,0.000023,0.010151
60600.000000,107603.668821,102654.332816,0.000076,0.000074,0.000951,0.000693,0.000010,0.000088,0.000879,0.000023,0.010020
61200.000000,107622.429295,102660.828826,0.000073,0.000073,0.000953,0.000693,0.000010,0.000089,0.000881,0.000023,0.009886
61800.000000,107638.382389,102664.321072,0.000071,0.000073,0.000954,0.000693,0.000010,0.000089,0.000884,0.000023,0.009746
62400.000000,107657.755542,102665.762228,0.000068,0.000073,0.000956,0.000693,0.000010,0.000089,0.000886,0.000023,0.009614
63000.000000,107680.500734,102672.931206,0.000066,0.000072,0.000957,0.000692,0.000010,0.000090,0.000888,0.000023,0.009491
63600.000000,107702.586952,102682.786531,0.000063,0.000072,0.000959,0.000692,0.000010,0.000090,0.000891,0.000023,0.009375
64200.000000,107726.175607,102695.914346,0.000061,0.000072,0.000960,0.000692,0.000010,0.000090,0.000893,0.000023,0.009269
64800.000000,107751.848006,102708.576523,0.000058,0.000071,0.000962,0.000691,0.000010,0.000091,0.000896,0.000023,0.009177
65400.000000,107775.745763,102718.157109,0.000056,0.000071,0.000963,0.000691,0.000010,0.000091,0.000898,0.000023,0.009095
66000.000000,107805.212159,102725.555325,0.000054,0.000070,0.000965,0.000691,0.000010,0.000091,0.000900,0.000023,0.009011
66600.000000,107825.767638,102727.786279,0.000052,0.000070,0.000966,0.000691,0.000010,0.000092,0.000902,0.000023,0.008901
67200.000000,107850.924192,102732.500763,0.000049,0.000069,0.000968,0.000690,0.000011,0.000092,0.000904,0.000023,0.008756
67800.000000,107873.065114,102732.843287,0.000047,0.000069,0.000969,0.000690,0.000011,0.000092,0.000906,0.000023,0.008601
68400.000000,107901.560315,102725.987428,0.000045,0.000068,0.000970,0.000689,0.000011,0.000092,0.000908,0.000023,0.008470
69000.000000,107930.164642,102730.835969,0.000043,0.000068,0.000972,0.000689,0.000011,0.000092,0.000910,0.000023,0.008371
69600.000000,107959.737012,102742.031288,0.000041,0.000068,0.000973,0.000689,0.000010,0.000093,0.000912,0.000023,0.008294
70200.000000,107981.339894,102748.397382,0.000039,0.000067,0.000974,0.000688,0.000010,0.000093,0.000914,0.000023,0.008217
70800.000000,108009.493820,102763.081536,0.000037,0.000067,0.000975,0.000688,0.000010,0.000093,0.000916,0.000023,0.008141
71400.000000,108033.574927,102776.827261,0.000036,0.000066,0.000976,0.000687,0.000010,0.000093,0.000918,0.000023,0.008065
72000.000000,108061.549281,102787.341166,0.000034,0.000066,0.000978,0.000687,0.000010,0.000093,0.000919,0.000023,0.007993
72600.000000,108095.531611,102799.608718,0.000032,0.000065,0.000979,0.000687,0.000010,0.000094,0.000921,0.000023,0.007927
73200.000000,108119.077037,102806.096234,0.000031,0.000065,0.000980,0.000686,0.000010,0.000094,0.000922,0.000023,0.007865
73800.000000,108145.579189,102816.055292,0.000029,0.000064,0.000981,0.000686,0.000010,0.000094,0.000924,0.000023,0.007803
74400.000000,108170.734972,102824.574840,0.000028,0.000064,0.000982,0.000686,0.000010,0.000094,0.000925,0.000023,0.007744
75000.000000,108192.142160,102829.523954,0.000026,0.000064,0.000983,0.000685,0.000010,0.000094,0.000927,0.000023,0.007682
75600.000000,108228.105570,102843.823132,0.000025,0.000063,0.000984,0.000685,0.000009,0.000094,0.000928,0.000023,0.007627
76200.000000,108255.345115,102852.265999,0.000024,0.000063,0.000985,0.000684,0.000009,0.000095,0.000929,0.000023,0.007570
76800.000000,108277.087313,102855.873459,0.000023,0.000063,0.000985,0.000684,0.000009,0.000095,0.000930,0.000023,0.007510
77400.000000,108301.423582,102855.206982,0.000021,0.000062,0.000986,0.000684,0.000009,0.000095,0.000931,0.000023,0.007452
78000.000000,108323.024606,102851.459718,0.000020,0.000062,0.000987,0.000683,0.000009,0.000095,0.000933,0.000023,0.007395
78600.000000,108348.900882,102847.976562,0.000019,0.000061,0.000988,0.000683,0.000009,0.000095,0.000934,0.000023,0.007340
79200.000000,108372.036381,102843.350648,0.000018,0.000061,0.000989,0.000683,0.000009,0.000095,0.000935,0.000023,0.007287
79800.000000,108394.458500,102840.588702,0.000017,0.000060,0.000990,0.000682,0.000009,0.000095,0.000936,0.000023,0.007235
80400.000000,108419.364248,102854.247733,0.000016,0.000060,0.000990,0.000682,0.000009,0.000095,0.000937,0.000023,0.007185
81000.000000,108449.500968,102868.139488,0.000015,0.000059,0.000991,0.000682,0.000009,0.000095,0.000938,0.000023,0.007140
81600.000000,108480.406421,102886.375526,0.000014,0.000059,0.000992,0.000681,0.000009,0.000096,0.000939,0.000023,0.007099
82200.000000,108508.505949,102905.741813,0.000013,0.000059,0.000993,0.000681,0.000009,0.000096,0.000940,0.000023,0.007059
82800.000000,108536.661594,102929.689903,0.000012,0.000058,0.000994,0.000681,0.000009,0.000096,0.000941,0.000023,0.007021
83400.000000,108568.047876,102957.907226,0.000011,0.000058,0.000994,0.000680,0.000008,0.000096,0.000942,0.000023,0.006984
84000.000000,108595.709311,102982.661826,0.000010,0.000057,0.000995,0.000680,0.000008,0.000096,0.000943,0.000023,0.006949
84600.000000,108625.826643,103015.537977,0.000010,0.000057,0.000996,0.000680,0.000008,0.000096,0.000944,0.000023,0.006914
85200.000000,108655.038677,103040.681012,0.000009,0.000057,0.000996,0.000680,0.000008,0.000095,0.000945,0.000023,0.006883
85800.000000,108689.523222,103066.392501,0.000008,0.000056,0.000997,0.000679,0.000008,0.000096,0.000946,0.000023,0.006857
86400.000000,108716.474222,103089.356641,0.000007,0.000056,0.000997,0.000679,0.000008,0.000095,0.000947,0.000023,0.006832
87000.000000,108744.722901,103118.530304,0.000007,0.000055,0.000998,0.000679,0.000008,0.000095,0.000948,0.000023,0.006807
87600.000000,108772.987776,103140.314924,0.000006,0.000055,0.000998,0.000679,0.000008,0.000096,0.000948,0.000023,0.006783
88200.000000,108798.154462,103162.074137,0.000006,0.000055,0.000999,0.000678,0.000008,0.000095,0.000949,0.000023,0.006758
88800.000000,108821.450070,103180.148497,0.000005,0.000054,0.000999,0.000678,0.000008,0.000095,0.000950,0.000023,0.006733
89400.000000,108845.119644,103191.443545,0.000005,0.000054,0.001000,0.000678,0.000007,0.000095,0.000951,0.000023,0.006710
90000.000000,108866.576916,103221.309774,0.000004,0.000053,0.001001,0.000678,0.000007,0.000095,0.000952,0.000023,0.006686
90600.000000,108886.950087,103240.403836,0.000004,0.000053,0.001001,0.000678,0.000007,0.000095,0.000953,0.000023,0.006663
91200.000000,108906.393073,103255.564177,0.000003,0.000053,0.001002,0.000678,0.000007,0.000095,0.000954,0.000023,0.006640
91800.000000,108925.142074,103269.405400,0.000003,0.000052,0.001002,0.000678,0.000007,0.000095,0.000955,0.000023,0.006617
92400.000000,108942.562562,103280.040228,0.000002,0.000052,0.001003,0.000677,0.000007,0.000095,0.000956,0.000023,0.006600
93000.000000,108962.849098,103300.864895,0.000002,0.000052,0.001003,0.000677,0.000006,0.000095,0.000957,0.000023,0.006583
93600.000000,108979.547955,103301.841296,0.000002,0.000051,0.001004,0.000677,0.000006,0.000094,0.000957,0.000023,0.006567
94200.000000,108996.226822,103312.987529,0.000001,0.000051,0.001004,0.000677,0.000006,0.000094,0.000958,0.000023,0.006552
94800.000000,109012.942083,103332.221949,0.000001,0.000051,0.001005,0.000677,0.000006,0.000094,0.000959,0.000023,0.006536
95400.000000,109027.001845,103341.404893,0.000001,0.000050,0.001005,0.000677,0.000005,0.000094,0.000960,0.000023,0.006523
96000.000000,109042.926452,103348.190155,0.000001,0.000050,0.001005,0.000677,0.000005,0.000093,0.000961,0.000023,0.006514
96600.000000,109058.401497,103354.902314,0.000001,0.000050,0.001006,0.000677,0.000005,0.000093,0.000962,0.000023,0.006507
97200.000000,109073.023844,103364.965484,0.000001,0.000049,0.001006,0.000677,0.000004,0.000092,0.000963,0.000023,0.006499
97800.000000,109088.430537,103376.629321,0.000000,0.000049,0.001006,0.000677,0.000004,0.000092,0.000964,0.000023,0.006493
98400.000000,109104.584014,103388.916324,0.000000,0.000049,0.001006,0.000677,0.000004,0.000092,0.000965,0.000023,0.006486
99000.000000,109124.267454,103401.410314,0.000000,0.000048,0.001007,0.000677,0.000003,0.000091,0.000966,0.000023,0.006481
99600.000000,109140.078920,103412.230545,0.000000,0.000048,0.001007,0.000677,0.000003,0.000091,0.000966,0.000023,0.006476
100200.000000,109154.929067,103420.065495,0.000000,0.000048,0.001007,0.000677,0.000002,0.000091,0.000967,0.000023,0.006472
100800.000000,109170.656819,103430.248245,0.000000,0.000048,0.001008,0.000677,0.000002,0.000090,0.000968,0.000023,0.006468
101400.000000,109185.527243,103441.697230,0.000000,0.000047,0.001008,0.000677,0.000002,0.000090,0.000968,0.000023,0.006465
102000.000000,109199.858441,103448.193600,0.000000,0.000047,0.001008,0.000677,0.000002,0.000089,0.000969,0.000023,0.006462
102600.000000,109212.600961,103455.790380,0.000000,0.000047,0.001008,0.000677,0.000001,0.000089,0.000969,0.000023,0.006460
103200.000000,109226.521705,103463.637558,0.000000,0.000047,0.001009,0.000677,0.000001,0.000089,0.000970,0.000023,0.006459
103800.000000,109239.572337,103471.654863,0.000000,0.000046,0.001009,0.000677,0.000001,0.000088,0.000970,0.000023,0.006458
104400.000000,109252.799808,103483.586843,0.000000,0.000046,0.001009,0.000677,0.000001,0.000088,0.000971,0.000023,0.006458
105000.000000,109265.527280,103491.857126,0.000000,0.000046,0.001009,0.000677,0.000001,0.000087,0.000971,0.000023,0.006458
105600.000000,109276.790768,103499.694734,0.000000,0.000046,0.001010,0.000677,0.000001,0.000087,0.000971,0.000023,0.006460
106200.000000,109286.697427,103506.318425,0.000000,0.000045,0.001010,0.000677,0.000001,0.000087,0.000971,0.000023,0.006464
106800.000000,109296.396807,103512.362244,0.000000,0.000045,0.001010,0.000677,0.000001,0.000086,0.000972,0.000023,0.006468
107400.000000,109303.888394,103519.480254,0.000000,0.000045,0.001010,0.000677,0.000001,0.000086,0.000972,0.000023,0.006472
